timestamp,open,high,low,close,volume_btc,volume_usd
2022-03-01 00:00:00,43221.71,43626.49,43185.48,43312.27,52.05632,2254677.3870464
2022-02-28 23:00:00,43085.3,43364.81,42892.37,43178.98,106.81610268,4612210.361297667
2022-02-28 22:00:00,41657.23,44256.08,41650.29,42907.32,527.54057125,22635352.10360655
2022-02-28 21:00:00,41917.09,41917.09,41542.6,41659.53,69.75167997,2905822.204260614
2022-02-28 20:00:00,41361.99,41971.0,41284.11,41914.97,247.15165437,10359354.17836892
2022-02-28 19:00:00,41228.49,41406.03,41036.37,41362.52,114.26897018,4726452.564449653
2022-02-28 18:00:00,41432.91,41476.2,41032.06,41233.87,71.23338214,2937228.018821082
2022-02-28 17:00:00,41031.78,41432.91,40524.73,41432.91,192.78948041,7987829.190774295
2022-02-28 16:00:00,40860.33,41341.18,40710.0,41008.37,291.62318119,11958991.314816562
2022-02-28 15:00:00,39830.5,40912.56,39634.59,40846.38,365.05597171,14911214.941735908
2022-02-28 14:00:00,38021.83,39913.48,38021.83,39840.1,292.8560901,11667415.91519301
2022-02-28 13:00:00,38258.03,38365.84,37914.32,38056.2,120.01581245,4567345.76175969
2022-02-28 12:00:00,38365.56,38669.43,38197.52,38271.13,110.74924657,4238498.812882524
2022-02-28 11:00:00,38407.79,38505.31,38146.67,38367.53,78.15212922,2998504.1624122267
2022-02-28 10:00:00,38114.28,38474.51,38104.13,38404.2,80.17187141,3078936.5840039216
2022-02-28 09:00:00,38345.77,38592.84,38114.65,38125.95,112.33133209,4282738.750696735
2022-02-28 08:00:00,38375.17,38688.88,38195.78,38333.17,84.64347557,3244652.738415657
2022-02-28 07:00:00,37992.68,38488.88,37904.46,38378.13,63.49987081,2437006.296929385
2022-02-28 06:00:00,37847.72,38123.4,37501.0,37992.68,45.85984605,1742338.4558269142
2022-02-28 05:00:00,37828.28,38032.72,37775.02,37847.72,17.04023521,644934.0509622212
2022-02-28 04:00:00,37798.22,38060.85,37757.66,37834.38,24.02349321,908913.9710345598
2022-02-28 03:00:00,37758.97,37907.74,37680.52,37814.44,10.75317702,406625.3672321689
2022-02-28 02:00:00,38016.74,38126.32,37592.9,37769.4,46.26856875,1747536.08054625
2022-02-28 01:00:00,37593.28,38378.0,37593.28,37992.53,69.55094102,2642416.213230581
2022-02-28 00:00:00,37717.1,37827.04,37468.99,37571.16,18.47098706,693976.4101891896
2022-02-27 23:00:00,37812.91,37824.48,37380.17,37712.68,41.97147903,1582856.9577851002
2022-02-27 22:00:00,37408.05,37934.27,37349.35,37832.76,298.52166601,11293898.544956489
2022-02-27 21:00:00,37994.1,38072.57,37015.74,37410.01,194.11884662,7261987.993242666
2022-02-27 20:00:00,37588.0,38303.39,37372.59,37979.83,268.31533936,10190570.97528511
2022-02-27 19:00:00,38896.58,38982.43,37538.96,37644.68,187.27258042,7049816.362685165
2022-02-27 18:00:00,38986.58,39159.23,38808.92,38923.63,41.2804258,1606784.020081654
2022-02-27 17:00:00,39104.13,39161.56,38952.22,39002.44,19.91679888,776803.7533092673
2022-02-27 16:00:00,39377.9,39474.0,38974.68,39124.56,26.87382651,1051426.6377200854
2022-02-27 15:00:00,38833.67,39444.91,38758.92,39377.9,41.21555409,1622981.967400611
2022-02-27 14:00:00,39100.84,39204.81,38695.24,38779.41,48.72177752,1889401.7863768635
2022-02-27 13:00:00,39777.44,39825.36,38614.13,39099.04,131.3803396,5136845.1532339845
2022-02-27 12:00:00,39542.34,39886.92,39398.87,39759.92,62.81985166,2497712.276413467
2022-02-27 11:00:00,39400.79,39547.24,39260.71,39520.81,40.40360819,1596783.3225914338
2022-02-27 10:00:00,39121.67,39468.77,39018.25,39409.65,53.46553373,2107057.9713624944
2022-02-27 09:00:00,38845.77,39131.14,38797.15,39122.01,37.79784086,1478727.5081033288
2022-02-27 08:00:00,38841.57,38907.25,38659.86,38861.01,10.92947439,424730.41356453387
2022-02-27 07:00:00,38814.81,38901.1,38789.91,38837.37,4.59597757,178495.6813977909
2022-02-27 06:00:00,38648.04,38888.88,38646.67,38814.82,27.11931654,1052631.3900231228
2022-02-27 05:00:00,38579.76,38772.01,38482.91,38620.12,14.83129793,572786.5058123516
2022-02-27 04:00:00,38637.15,38694.83,38500.56,38593.13,10.27162952,396414.3333771976
2022-02-27 03:00:00,38568.58,38714.84,38557.26,38637.49,18.1144665,699897.5182490849
2022-02-27 02:00:00,38246.62,38593.29,38218.11,38572.65,15.47368734,596861.125975251
2022-02-27 01:00:00,38813.1,38880.04,38233.95,38233.95,60.56183915,2315518.329969142
2022-02-27 00:00:00,39146.66,39285.02,38741.67,38836.1,45.84388585,1780397.7352591848
2022-02-26 23:00:00,39159.91,39183.18,38938.99,39146.66,38.99396999,1526483.6852487335
2022-02-26 22:00:00,39483.63,39495.45,39090.94,39182.98,26.92600911,1055041.2764369478
